q01_num_hijos,q02a_age_2nd_child_to_1st,q02b_age_3rd_child_to_1st,q02c_age_4th_child_to_1st,q03_help,q04_excedencia_all,q05_duration_child,q06_duration_child,q07_duration_child,q08_main_reason,q09a_secondary_reason,q09b_secondary_reason,q09c_secondary_reason,q09d_secondary_reason,q10_diff_reasons,q11_other_ask,q12_other_not_reason,q13a_conciliation_opts,q13b_conciliation_opts,q13c_conciliation_opts,q14_company_reaction,q15_mates_reaction,q16_formation_time,q17_work_during,q18_back_work,q19_tasks_after,q20_current_tasks,q21_excedencia_general_evaluation,q22_excedencia_needs_improvements,q23_excedencia_specify_improvements,q24_conciliation_general_evaluation,q25_conciliation_needs_improvements,q26_conciliation_specify_improvements,q27_experience_description,q28_comments,q29_genre,q31_civil_status,q32_education,q33_job,q34_contract
3,2,6,,otros: Solo una abuela,si,6 meses,3 meses,7 meses la tercera,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”),Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,"En los tres casos fue por necesidad de cuidar a mis tres hijos, la imposibilidad de dejarlos antes del año con ningún familiar y porque salía más a cuenta cuidarlos yo que contratar a alguien. El trabajo lo tenía asegurado y mi horario no era compatible para cuidarlos o trabajar desde casa",no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,"otros: No lo sé, supongo que hubo de todo, quien pensó que era una floja que no aguantaba compaginar ambas cosas y quien me entendió ",otros: Jajajaja tiempo?? Tiempo para mi? Para mi desarrollo personal o profesional??? Qué es eso?? ,No,Cambió el tipo de jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,5,"Sí, creo que necesita alguna mejora.","Creo que para empezar las mujeres necesitamos una baja maternal más larga, remunerada. Porque tenemos un hijo, pedimos excedencia y entonces... Tenemos que vivir del aire? Las excedencias están muy bien siempre que hayas ahorrado lo suficiente para poder sobrevivir durante ese período pagando la hipoteca y el cole del resto de hijos si ya los tienes... Si no tienes ahorro supongo que debe ser imposible! O que tu pareja gana mucho... En li caso pagàbamos hipoteca guardería y cole en el caso de la tercera excedencia... Sin ahorros hubiese sido imposible. Creo que debería haber una baja de maternidad para cuidar de tu hijo el primer año de vida, ya que en mi caso yo cogí las excedencias para evitar llevar a mis hijos a la guardería durante su primer año de vida, para garantizar la lactancia materna y porque en ese primer año me necesitaban y yo a ellos, que no es menos importante. ",2,"Sí, creo que necesita alguna mejora.","Trabajo desde casa. Que no haya represalias en el caso de coger una excedencia o reducción, a mi no me ha pasado, pero tengo amigas que sí han sufrido...además que tanto los hombres como mujeres puedan disfrutar de este tipo de períodos sin que se vea afectada su situación laboral. Que la baja maternal se extienda, remunerada, al menos con una parte del sueldo. O que haya más flexibilidad horaria, aunque en mi puesto de trabajo, profesora, es la que es... No hay otra jornada. ",Ha sido el mejor tiempo y dinero invertido en toda mi vida. ,Creo que debería ser obligatoria una baja de maternidad de un año. ,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
3,3,7,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",no,2 meses 3er hijo,,,No contaba con ayuda externa de familiares,No contaba con ayuda externa de familiares,NA,NA,NA,,no,No nos planteamos esa opción,Reducción de jornada,NA,NA,Hostilidad,Indiferencia,otros: Fueron solo dos meses,No,Volví al mismo puesto con la misma jornada ,Realicé trabajos de menor responsabilidad ,Es de menor rango ,6,"Sí, creo que necesita alguna mejora.",Vigilar en las empresas no discriminación en la reincorporación,2,"Sí, creo que necesita alguna mejora.","Bajas más largas, jornadas flexibles, teletrabajo","Positiva en casa, decepción en el trabajo",,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
3,1,8,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,23 3,0,0,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,Indiferencia,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,,7,"Sí, creo que necesita alguna mejora.",Mayor duración ,3,"Sí, creo que necesita alguna mejora.",Baja maternal más larga ,Lo mejor que he hecho ,No,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
3,2,5,,"No, no cuento con nadie más",no,15m (2a),Actualidad (3a),Actualidad,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,el mismo cuidar de ellas,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Indiferencia,Hostilidad,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","otros: En la primera no, ahora si, por cuenta ajena",Cambió el tipo de jornada ,Realicé la misma actividad que antes de la excedencia ,No estoy trabajando actualmente,7,otros: Ayudas por hijo a cargo,Remuneración,2,"Sí, creo que necesita alguna mejora.","Ayudas económicas, especiamente a pymes",Duro y apasionante,no,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
3,1,5,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,11,,,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,Oposición,Sentía que mi puesto de trabajo estaba asegurado,NA,,si,,Reducción de jornada,NA,NA,Indiferencia,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,,7,"No, considero que funciona bien.",,5,"Sí, creo que necesita alguna mejora.",Reducción de jornada en días completos,Disfrutar aprender conocerlos,,Hombre,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
3,3,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,1 mes,"1 mes (hijos 2y3, mellizos)",,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Flexibilidad de horario,Reducción de jornada,NA,Indiferencia,Indiferencia,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé trabajos de menor responsabilidad ,Es de menor rango ,4,"Sí, creo que necesita alguna mejora.",Asegurar que la persona que coge la excedencia mantiene iguales funciones y condiciones de trabajo ,3,"Sí, creo que necesita alguna mejora.",Teletrabajo,Mobbing tras reincorporación,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
3,3,7,,"No, no cuento con nadie más",no,12,10,,Quería dedicarme por completo a mi/s hijo/s,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,4,"No, considero que funciona bien.",,3,"Sí, creo que necesita alguna mejora.",,,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
3,2,6,,"No, no cuento con nadie más",no,"3 meses, tercera hija",,,"otros: Quería disfrutar un poco más de mi hija y coincidía con las vacaciones escolares de los mayores, por lo que además casi no tenía ganancia económica si me incorporaba",No contaba con ayuda externa de familiares,NA,NA,NA,,no,No nos planteamos esa opción,Reducción de jornada,NA,NA,otros: Está contemplado en convenio. No ponen problema ,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,,4,otros: Lo convertiría en innecesario mejorando los permisos p/maternales,,1,"Sí, creo que necesita alguna mejora.","Permisos más largos, jornadas más flexibles, garantía de vuelta al mismo puesto, te letra bajo....",Repetiría ,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,otros: Interinidad
3,3,6,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",si,17,4,5,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,"La excedencia de mi primer hijo fue especialmente larga porque no solo la utilicé para cuidar, también para desarrollar un proyecto (escribir un libro)",no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Flexibilidad de horario,Reducción de jornada,NA,Comprensión,Indiferencia,"No, recurrí a una escuela infantil/cuidador/similar para tener tiempo","Sí, por cuenta propia",Cambió el tipo de jornada ,Asumí tareas de mayor responsabilidad ,,5,"Sí, creo que necesita alguna mejora.","incluir algún tipo de remuneración, como mínimo  el equivalente al coste de una plaza en una escuela infantil pública.",3,"Sí, creo que necesita alguna mejora.","Creo que hace falta trabajar menos en general. Creo que para una conciliación verdaderamente posible, que no dependa de la buena voluntad del patrón,hace falta una reducción general de la jornada de trabajo. Y también mucha inspección laboral: todos sabemos de empresas en las que se castiga de mil y una maneras a quien piden excedencias, reducen jornada... ",Satisfacción (pero) aislamiento,,Mujer,Vivo en pareja,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
3,3,6,,"Sí, los abuelos u otros familiares viven en el hogar ",si,Años mi primer hijo,No,No,Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”),No contaba con ayuda externa de familiares,NA,NA,NA,Hijo con problemas ,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,No facilita ninguna de estas opciones,NA,NA,Hostilidad,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",Realicé algún trabajo sin contrato,Salí del mercado laboral,Realicé trabajos de menor responsabilidad ,Los puestos no son comparables,3,"Sí, creo que necesita alguna mejora.",Mayor baja de  maternidad ,1,"Sí, creo que necesita alguna mejora.",Flexibilidad  horaria,Fue un error ,No,Mujer,Divorciado/a,Formación profesional ,otros: Trabajo sin contrato,otros: No tengo
3,3,6,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,1 mes,1 mes,1 mes,Quería dedicarme por completo a mi/s hijo/s,Para poder dar el pecho hasta los 6 meses,Quería dedicarme por completo a mi/s hijo/s,NA,NA,,no,No nos planteamos esa opción,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,4,"Sí, creo que necesita alguna mejora.",Asegurar el puesto y no perder las vacaciones ,2,"Sí, creo que necesita alguna mejora.",Aumentar las bajas por maternidad ,TRanquilidad por estar con el bebé. ,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),otros: Escuela concertada,Indefinido
3,2,3,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,2 meses primer y segundo hijo y tres años con el tercero,Dos meses el segundo,La última tres años,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.",No,La excedencia no ha acabado aún,otros: Quiero reducir jornada,,7,"No, considero que funciona bien.",,7,"Sí, creo que necesita alguna mejora.",Más teletrabajo. Pero parece que la presencia física es fundamental. Deben confiar más,"Excedencia=excelencia
No me arrepentiré jamás.",Mi excedencia ha sido remunerada; mi empresa en esto; un diez. He disfrutado de mis hijos y he recibido ayuda económica.,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
