Region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
TOTAL,40517,36195,31435,28038,29651,34128,34812,33942,37771,34816,31275,28403
Andalucía,4238,3792,3264,2894,2943,3479,3627,3630,4258,3916,3236,2646
Aragón,1427,1247,1089,894,980,1139,1227,1173,1454,1350,1223,1141
Asturias,460,393,323,293,294,326,328,331,339,283,234,201
Baleares,1054,931,810,707,712,834,906,845,1008,967,933,857
Canarias,693,656,531,468,403,504,528,485,583,589,609,525
Cantabria,270,286,264,225,235,303,308,245,274,249,190,202
Castilla - León,2443,2195,1939,1882,1225,1531,1584,1611,1747,1419,1118,1007
Castilla - La Mancha,1476,1386,1150,1162,2088,2454,3014,3001,3396,3134,3174,3231
Com. Valenciana,3909,3589,3167,2634,4308,4774,4747,4550,5193,4815,4644,4082
Cataluña,6334,5469,4687,4192,2990,3559,3760,3888,4667,4403,3956,3681
Extremadura,427,413,372,275,288,389,384,372,387,341,292,227
Galicia,910,683,556,537,536,555,511,542,477,497,420,383
Madrid,8863,7912,6860,6092,6432,7495,7401,7311,7664,7229,6361,5753
Murcia,1623,1484,1402,1206,1293,1487,1662,1655,1810,1704,1459,1196
Navarra,1661,1539,1317,1190,1439,1619,1538,1458,1555,1337,1209,1105
La Rioja,320,295,249,216,3202,3353,2936,2504,2554,2229,1840,1807
Pais Vasco,4378,3907,3435,3159,265,304,329,314,377,328,350,333
Ceuta,17,6,8,6,9,13,10,13,17,17,13,12
Melilla,14,12,12,6,9,10,12,14,11,9,14,14
