Region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
TOTAL,37531,33779,29554,26497,28163,32599,33239,32549,36300,33335,30052,27457
Andalucía,3950,3578,3058,2723,2802,3324,3466,3479,4095,3710,3106,2541
Aragón,1340,1179,1040,843,939,1105,1178,1137,1406,1302,1185,1100
Asturias,418,356,298,268,269,304,313,296,321,272,223,197
Baleares,951,853,753,659,669,792,867,797,948,915,909,831
Canarias,593,562,464,411,346,456,478,445,544,536,578,486
Cantabria,255,277,248,215,222,287,294,235,258,238,183,196
Castilla - León,2317,2093,1845,1801,1178,1476,1518,1538,1676,1364,1067,966
Castilla - La Mancha,1368,1298,1085,1103,2025,2377,2927,2927,3323,3047,3105,3145
Com. Valenciana,3710,3379,3032,2529,4126,4559,4529,4373,5019,4629,4484,3958
Cataluña,5940,5155,4439,4000,2877,3445,3641,3772,4547,4271,3830,3603
Extremadura,392,379,339,258,271,356,361,360,368,319,277,217
Galicia,834,621,515,506,505,520,482,503,447,457,390,364
Madrid,8015,7239,6309,5670,6022,7117,6983,6989,7299,6902,6054,5544
Murcia,1520,1419,1346,1169,1246,1437,1605,1592,1752,1638,1406,1162
Navarra,1557,1451,1250,1136,1375,1544,1457,1389,1490,1281,1168,1064
La Rioja,309,279,240,208,3019,3180,2799,2384,2426,2113,1728,1737
Pais Vasco,4036,3645,3275,2988,255,298,320,307,355,318,335,323
Ceuta,12,5,6,4,9,12,9,12,17,15,10,11
Melilla,14,11,12,6,8,10,12,14,9,8,14,12
